t	x	y	th	v*100	w	dTh	dSi
9.55	0.67	0.26	0.06	9.87	-0.07	-0.00	0.00
9.60	0.68	0.26	0.06	10.34	0.00	0.00	0.01
9.65	0.68	0.26	0.06	9.87	-0.07	-0.00	0.00
9.70	0.69	0.26	0.06	10.32	0.00	0.00	0.01
9.75	0.69	0.26	0.06	9.40	0.00	0.00	0.00
9.80	0.70	0.26	0.06	9.40	0.00	0.00	0.00
9.85	0.70	0.26	0.06	9.39	0.00	0.00	0.00
9.90	0.71	0.26	0.06	9.39	0.00	0.00	0.00
9.95	0.71	0.26	0.05	9.87	-0.07	-0.00	0.00
10.00	0.72	0.26	0.05	9.39	0.00	0.00	0.00
10.05	0.72	0.26	0.06	9.86	0.07	0.00	0.00
10.10	0.73	0.26	0.06	9.38	0.00	0.00	0.00
10.15	0.73	0.26	0.05	9.87	-0.07	-0.00	0.00
10.20	0.74	0.26	0.05	9.87	-0.07	-0.00	0.00
10.25	0.74	0.26	0.05	9.87	0.07	0.00	0.00
10.30	0.75	0.26	0.05	9.86	-0.07	-0.00	0.00
10.35	0.75	0.26	0.05	10.34	0.00	0.00	0.01
10.40	0.76	0.26	0.05	10.32	0.00	0.00	0.01
10.45	0.76	0.26	0.05	9.87	-0.07	-0.00	0.00
10.50	0.77	0.26	0.05	9.84	0.07	0.00	0.00
10.55	0.77	0.26	0.05	9.40	0.00	0.00	0.00
10.60	0.78	0.26	0.05	9.39	0.00	0.00	0.00
10.65	0.78	0.26	0.05	9.87	0.07	0.00	0.00
10.70	0.78	0.26	0.05	9.39	0.00	0.00	0.00
10.75	0.79	0.26	0.05	10.32	0.00	0.00	0.01
10.80	0.79	0.26	0.06	9.83	0.07	0.00	0.00
10.85	0.80	0.26	0.05	9.87	-0.07	-0.00	0.00
10.90	0.80	0.26	0.05	10.34	0.00	0.00	0.01
10.95	0.81	0.26	0.06	9.87	0.07	0.00	0.00
11.00	0.81	0.26	0.05	9.86	-0.07	-0.00	0.00
11.05	0.82	0.26	0.06	9.87	0.07	0.00	0.00
11.10	0.82	0.26	0.06	9.86	0.07	0.00	0.00
11.15	0.83	0.26	0.06	9.40	0.00	0.00	0.00
11.20	0.83	0.26	0.06	10.34	0.00	0.00	0.01
11.25	0.84	0.26	0.06	10.34	0.00	0.00	0.01
11.30	0.84	0.26	0.06	9.38	0.00	0.00	0.00
11.35	0.85	0.27	0.06	9.87	-0.07	-0.00	0.00
11.40	0.85	0.27	0.06	10.32	0.00	0.00	0.01
11.46	0.86	0.27	0.05	9.84	-0.07	-0.00	0.00
11.51	0.86	0.27	0.06	9.87	0.07	0.00	0.00
11.56	0.87	0.27	0.06	9.40	0.00	0.00	0.00
11.61	0.87	0.27	0.06	9.40	0.00	0.00	0.00
11.66	0.88	0.27	0.06	9.40	0.00	0.00	0.00
11.71	0.88	0.27	0.06	9.39	0.00	0.00	0.00
